sample,time,ThrottleAng,EngTempC,GearPosition,RPM,AirTempC,ManiPress1hPa,ManiPress2hPa,LngTrmAMix%,MixAdptAdd(m/str),LngTrmMuMix%,MixAdptMu(ms),AirMasskg/h,OxySen1V,OxySen2V,KnkVolt,SpeedKph,ShrtTermMixCorr,ShrtTermCorr,CalcLoad%,KnkNoiseLev,KnockRetard,MisFireCYL1,MisFireCYL2,MisFireCYL3,MisFireCYL4,TrueRunValCYL1,TrueRunValCYL2,TrueRunValCYL3,TrueRunValCYL4,IgnAdvCYL1,IgnAdvCYL2,IgnAdvCYL3,IgnAdvCYL4,SparkAdv,InjPulse(ms),PedalAng%,BatteryV,InjDuty%,MAP_PSI,AirMass(g/s),LC1.AFR
0,0.150,23.9,89.9639,3,3139,43.4761,977.432,812.122,.002,.002,.000762951,.000762951,145.25,.0977523,.127078,1.02151,62,.101472,-.0572212,97.6471,49,.000729534,0,0,0,0,24,3,14,-20,30.3728,27.7476,30.3728,29.2477,72.0001,4.612,35.6863,14.0625,12.0642,-.304591,40.3419,15.0234
1,0.300,27.649,89.9639,3,3195,43.4761,1099.35,827.649,.002,.002,.000762951,.000762951,168.251,.239493,.478986,.71848,63,-1.2871,-2.55665,100,50,.000729534,0,0,0,0,27,28,4,-26,29.2477,26.6226,29.2477,28.1227,72.0001,4.916,39.2157,14.0625,13.0889,1.4602,46.7309,15.3174
2,0.450,27.649,89.9639,3,3236,43.4761,1212.32,833.143,.002,.002,.000762951,.000762951,190.001,.865108,.865108,.796682,64,.000762951,.000762951,100,42,.000729534,0,0,0,0,33,12,9,8,28.4977,25.8725,28.4977,27.3726,72.0001,5.796,40,14.0625,15.6299,3.09565,52.7726,13.5534
3,0.600,27.649,89.9639,3,3284,43.4761,1217.89,826.294,.002,.002,.000762951,.000762951,194.251,.865108,.884659,.679379,65,.000762951,.000762951,100,50,.000729534,0,0,0,0,39,15,12,-7,28.1227,25.4975,28.1227,26.9976,72.0001,5.772,40,14.0625,15.796,3.17623,53.9532,13.6269
4,0.750,30.9294,89.9639,3,3328,43.4761,1206.24,830.799,.002,.002,.000762951,.000762951,196.001,.869996,.889546,.767356,66,.000762951,.000762951,100,44,.000729534,0,0,0,0,28,-14,18,-14,28.8727,26.2476,28.8727,27.7476,72.0001,5.984,41.1765,14.0625,16.5956,3.00765,54.4393,13.5534
5,0.900,29.5235,89.9639,3,3374,43.4761,1257.11,843.653,.002,.002,.000762951,.000762951,208.001,.879771,.909097,.801569,67,.000762951,.000762951,100,45,.000729534,0,0,0,0,42,-22,8,-33,28.4977,25.8725,28.4977,27.3726,72.0001,6.176,41.1765,14.0625,17.3649,3.74399,57.7726,13.1565
6,1.050,28.5863,89.9639,3,3398,43.4761,1260.37,832.886,.002,.002,.000762951,.000762951,210.251,.869996,.899322,.977523,68,.000762951,.000762951,100,47,.000729534,0,0,0,0,40,-4,-7,-25,29.2477,26.6226,29.2477,28.1227,72.0001,6.084,41.1765,14.0625,17.2279,3.79118,58.3976,13.4064
7,1.200,30.9294,89.9639,3,3459,43.4761,1271.8,851.527,.002,.002,.000762951,.000762951,213.251,.865108,.894434,.684266,68,.000762951,.000762951,100,43,.000729534,0,0,0,0,32,12,11,6,29.2477,26.6226,29.2477,28.1227,72.0001,6.256,41.9608,14.0625,18.0329,3.95658,59.231,13.5681
8,1.350,30.9294,89.9639,3,3497,43.4761,1316.26,844.935,.002,.002,.000762951,.000762951,221.251,.855333,.889546,.762468,69,.000762951,.000762951,100,44,.000729534,0,0,0,0,39,-8,-15,2,29.2477,26.6226,29.2477,28.1227,72.0001,6.184,41.9608,14.0625,18.0212,4.60015,61.4532,13.8768
9,1.500,29.9922,89.9639,3,3540,43.4761,1317.02,831.531,.002,.002,.000762951,.000762951,221.751,.845558,.879771,.791794,70,.000762951,.000762951,100,45,.000729534,0,0,0,0,37,4,-5,-16,29.6227,26.9976,29.6227,28.4977,72.0001,6.08,41.9608,14.0625,17.936,4.61128,61.5921,14.1267
